category,title,full_name,url,description,stars,pushed_at,language,license,already_in_catalog,triage_score
sandboxed_code_execution,Sandboxed Code Execution,QwenLM/Qwen-Agent,https://github.com/QwenLM/Qwen-Agent,"Agent framework and applications built upon Qwen>=3.0, featuring Function Calling, MCP, Code Interpreter, RAG, Chrome extension, etc.",16384,2026-03-04T08:15:07Z,Python,Apache-2.0,False,78.1
voice_realtime_agents,Voice & Realtime Agents,mudler/LocalAI,https://github.com/mudler/LocalAI,"LocalAI is the open-source AI engine. Run any model - LLMs, vision, voice, image, video - on any hardware. No GPU required.",46427,2026-05-23T12:50:42Z,Go,MIT,False,91.9
voice_realtime_agents,Voice & Realtime Agents,jamiepine/voicebox,https://github.com/jamiepine/voicebox,"The open-source AI voice studio. Clone, dictate, create.",27862,2026-04-26T20:29:17Z,TypeScript,MIT,False,85.7
voice_realtime_agents,Voice & Realtime Agents,pipecat-ai/pipecat,https://github.com/pipecat-ai/pipecat,Open Source framework for voice and multimodal conversational AI,12438,2026-05-23T14:18:50Z,Python,BSD-2-Clause,False,85.5
voice_realtime_agents,Voice & Realtime Agents,livekit/agents,https://github.com/livekit/agents,A framework for building realtime voice AI agents 🤖🎙️📹 ,10604,2026-05-23T00:40:34Z,Python,Apache-2.0,False,84.7
voice_realtime_agents,Voice & Realtime Agents,vocodedev/vocode-core,https://github.com/vocodedev/vocode-core,🤖 Build voice-based LLM agents. Modular + open source.,3750,2024-11-15T22:16:58Z,Python,MIT,False,59.7
multimodal_vision_agents,Multimodal & Vision Agents,oobabooga/textgen,https://github.com/oobabooga/textgen,"Open-source desktop app for local LLMs. Text, vision, tool-calling, OpenAI/Anthropic-compatible API. 100% private.",47204,2026-05-20T19:02:33Z,Python,AGPL-3.0,False,92.0
multimodal_vision_agents,Multimodal & Vision Agents,OpenBMB/MiniCPM-V,https://github.com/OpenBMB/MiniCPM-V,A Pocket-Sized MLLM for Ultra-Efficient Image and Video Understanding on Your Phone,25209,2026-05-19T04:01:49Z,Python,Apache-2.0,False,88.9
multimodal_vision_agents,Multimodal & Vision Agents,simular-ai/Agent-S,https://github.com/simular-ai/Agent-S,Agent S: an open agentic framework that uses computers like a human,11580,2026-05-13T07:28:44Z,Python,Apache-2.0,False,85.2
multimodal_vision_agents,Multimodal & Vision Agents,microsoft/OmniParser,https://github.com/microsoft/OmniParser,A simple screen parsing tool towards pure vision based GUI agent,24797,2026-04-13T23:45:39Z,Jupyter Notebook,CC-BY-4.0,False,85.1
multimodal_vision_agents,Multimodal & Vision Agents,landing-ai/vision-agent,https://github.com/landing-ai/vision-agent,This tool has been deprecated. Use Agentic Document Extraction instead.,5284,2026-01-29T06:23:55Z,Python,Apache-2.0,False,72.6
local_llm_inference_routing,Local LLM Inference & Routing,ollama/ollama,https://github.com/ollama/ollama,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",172104,2026-05-22T16:47:04Z,Go,MIT,False,98.2
local_llm_inference_routing,Local LLM Inference & Routing,open-webui/open-webui,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",138343,2026-05-23T12:34:14Z,Python,NOASSERTION,False,97.1
local_llm_inference_routing,Local LLM Inference & Routing,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,112451,2026-05-23T12:59:51Z,C++,MIT,False,96.1
local_llm_inference_routing,Local LLM Inference & Routing,vllm-project/vllm,https://github.com/vllm-project/vllm,A high-throughput and memory-efficient inference and serving engine for LLMs,80797,2026-05-23T15:31:47Z,Python,Apache-2.0,False,94.5
local_llm_inference_routing,Local LLM Inference & Routing,BerriAI/litellm,https://github.com/BerriAI/litellm,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]",48012,2026-05-23T08:37:29Z,Python,NOASSERTION,False,92.0
local_llm_inference_routing,Local LLM Inference & Routing,lm-sys/FastChat,https://github.com/lm-sys/FastChat,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",39481,2026-05-01T00:25:53Z,Python,Apache-2.0,False,87.3
vector_databases_embedding_infra,Vector DBs & Embedding Infrastructure,milvus-io/milvus,https://github.com/milvus-io/milvus,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",44417,2026-05-23T13:40:31Z,Go,Apache-2.0,False,91.7
vector_databases_embedding_infra,Vector DBs & Embedding Infrastructure,facebookresearch/faiss,https://github.com/facebookresearch/faiss,A library for efficient similarity search and clustering of dense vectors.,40114,2026-05-23T01:34:12Z,C++,MIT,False,91.2
vector_databases_embedding_infra,Vector DBs & Embedding Infrastructure,qdrant/qdrant,https://github.com/qdrant/qdrant,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",31522,2026-05-23T12:48:47Z,Rust,Apache-2.0,False,90.0
vector_databases_embedding_infra,Vector DBs & Embedding Infrastructure,chroma-core/chroma,https://github.com/chroma-core/chroma,Search infrastructure for AI,28065,2026-05-23T00:22:55Z,Rust,Apache-2.0,False,89.4
vector_databases_embedding_infra,Vector DBs & Embedding Infrastructure,weaviate/weaviate,https://github.com/weaviate/weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",16229,2026-05-23T15:42:55Z,Go,BSD-3-Clause,False,86.8
vector_databases_embedding_infra,Vector DBs & Embedding Infrastructure,lancedb/lancedb,https://github.com/lancedb/lancedb,Developer-friendly OSS embedded retrieval library for multimodal AI. Search More; Manage Less.,10382,2026-05-23T14:58:50Z,HTML,Apache-2.0,False,84.6
agentic_code_review_swe,Agentic Code Review & SWE,OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,🙌 OpenHands: AI-Driven Development,74631,2026-05-23T15:54:01Z,Python,NOASSERTION,False,94.2
agentic_code_review_swe,Agentic Code Review & SWE,Aider-AI/aider,https://github.com/Aider-AI/aider,aider is AI pair programming in your terminal,45202,2026-05-22T14:02:20Z,Python,Apache-2.0,False,91.7
agentic_code_review_swe,Agentic Code Review & SWE,SWE-agent/SWE-agent,https://github.com/SWE-agent/SWE-agent,"SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] ",19280,2026-05-18T23:39:14Z,Python,MIT,False,87.6
agentic_code_review_swe,Agentic Code Review & SWE,langchain-ai/open-swe,https://github.com/langchain-ai/open-swe,An Open-Source Asynchronous Coding Agent,9840,2026-05-23T08:47:17Z,Python,MIT,False,84.4
agentic_code_review_swe,Agentic Code Review & SWE,SWE-bench/SWE-bench,https://github.com/SWE-bench/SWE-bench,SWE-bench: Can Language Models Resolve Real-world Github Issues?,4998,2026-04-01T05:16:30Z,Python,MIT,False,77.4
web_crawling_data_ingestion,Web Crawling & Data Ingestion,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,"🔥 Search, scrape, and clean the web for AI agents.",123306,2026-05-23T13:17:49Z,TypeScript,AGPL-3.0,False,96.6
web_crawling_data_ingestion,Web Crawling & Data Ingestion,browser-use/browser-use,https://github.com/browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,95207,2026-05-23T02:02:03Z,Python,MIT,True,95.3
web_crawling_data_ingestion,Web Crawling & Data Ingestion,unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN",66121,2026-05-22T11:42:05Z,Python,Apache-2.0,False,93.6
web_crawling_data_ingestion,Web Crawling & Data Ingestion,ArchiveBox/ArchiveBox,https://github.com/ArchiveBox/ArchiveBox,"🗃 Open source self-hosted web archiving. Takes URLs/browser history/bookmarks/Pocket/Pinboard/etc., saves HTML, JS, PDFs, media, and more...",27529,2026-05-23T03:24:36Z,Python,MIT,False,89.4
web_crawling_data_ingestion,Web Crawling & Data Ingestion,ScrapeGraphAI/Scrapegraph-ai,https://github.com/ScrapeGraphAI/Scrapegraph-ai,Python scraper based on AI,25773,2026-05-21T16:40:47Z,Python,MIT,False,89.0
workflow_state_machines_durable_agents,Workflow State Machines & Durable Agents,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,Build resilient agents.,32760,2026-05-22T16:57:50Z,Python,MIT,False,90.2
workflow_state_machines_durable_agents,Workflow State Machines & Durable Agents,activepieces/activepieces,https://github.com/activepieces/activepieces,AI Agents & MCPs & AI Workflow Automation • (~400 MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for AI Agents,22369,2026-05-23T14:28:24Z,TypeScript,NOASSERTION,False,88.3
workflow_state_machines_durable_agents,Workflow State Machines & Durable Agents,temporalio/temporal,https://github.com/temporalio/temporal,Temporal service,20456,2026-05-23T15:36:28Z,Go,MIT,False,87.9
workflow_state_machines_durable_agents,Workflow State Machines & Durable Agents,dagger/dagger,https://github.com/dagger/dagger,"Automation engine to build, test and ship any codebase. Runs locally, in CI, or directly in the cloud",15857,2026-05-23T05:22:36Z,Go,Apache-2.0,False,86.7
workflow_state_machines_durable_agents,Workflow State Machines & Durable Agents,hatchet-dev/hatchet,https://github.com/hatchet-dev/hatchet,"🪓 An orchestration engine for background tasks, AI agents, and durable workflows",7205,2026-05-22T21:56:28Z,Go,MIT,False,82.9
workflow_state_machines_durable_agents,Workflow State Machines & Durable Agents,inngest/inngest,https://github.com/inngest/inngest,"The leading workflow orchestration platform.  Run stateful step functions and AI workflows on serverless, servers, or the edge.",5394,2026-05-23T13:00:07Z,Go,NOASSERTION,False,81.5
benchmarks_simulation_synthetic_data,"Benchmarks, Simulation & Synthetic Data",faker-js/faker,https://github.com/faker-js/faker,Generate massive amounts of fake data in the browser and node.js,15331,2026-05-23T15:50:41Z,TypeScript,NOASSERTION,False,86.5
benchmarks_simulation_synthetic_data,"Benchmarks, Simulation & Synthetic Data",Farama-Foundation/Gymnasium,https://github.com/Farama-Foundation/Gymnasium,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related utilities (formerly Gym)",11929,2026-05-14T16:36:08Z,Python,MIT,False,85.3
benchmarks_simulation_synthetic_data,"Benchmarks, Simulation & Synthetic Data",sdv-dev/SDV,https://github.com/sdv-dev/SDV,Synthetic data generation for tabular data,3493,2026-05-22T20:26:01Z,Python,NOASSERTION,False,79.4
benchmarks_simulation_synthetic_data,"Benchmarks, Simulation & Synthetic Data",SWE-bench/SWE-bench,https://github.com/SWE-bench/SWE-bench,SWE-bench: Can Language Models Resolve Real-world Github Issues?,4998,2026-04-01T05:16:30Z,Python,MIT,False,77.4
benchmarks_simulation_synthetic_data,"Benchmarks, Simulation & Synthetic Data",gretelai/gretel-synthetics,https://github.com/gretelai/gretel-synthetics,"Synthetic data generators for structured and unstructured text, featuring differentially private learning.",679,2025-06-24T21:44:06Z,Python,NOASSERTION,False,57.7
